key_date,key_amount_clp,meta_invoice_id,meta_brand,meta_date,meta_transaction_id,meta_payment_reference,meta_amount_clp,meta_status,meta_source_file,cartola_row,cartola_reference,cartola_date,cartola_facebk_code,cartola_amount_clp,cartola_amount_usd,cartola_city,cartola_description
2026-03-24,600000,meta-almagro-inmobiliaria-2026-03,Almagro Inmobiliaria,2026-03-24,26088650174153681-26024539517231420,,600000,Pagado,Facturas Meta\Almagro\marzo_2026\2026-03-24T21-34 Transacción n.º 26088650174153681-26024539517231420.pdf,59,2403 74987506083000904370069,2026-03-24,MZ9GAKH6E2,600000,671.76,fb.me/ads,FACEBK *MZ9GAKH6E2
2026-03-25,600000,meta-almagro-inmobiliaria-2026-03,Almagro Inmobiliaria,2026-03-25,26141632668855433-26148889951463034,,600000,Pagado,Facturas Meta\Almagro\marzo_2026\2026-03-25T17-09 Transacción n.º 26141632668855433-26148889951463034.pdf,62,2603 74987506084000856300220,2026-03-25,GZXK3JV6E2,600000,671.44,fb.me/ads,FACEBK *GZXK3JV6E2
2026-03-25,600000,meta-pilares-2026-03,Pilares,2026-03-25,26598692686484698-26410893068597998,,600000,Pagado,Facturas Meta\Pilares\marzo_2026\2026-03-25T09-32 Transacción n.º 26598692686484698-26410893068597998.pdf,61,2503 74987506084000600884065,2026-03-25,P8FGDKD6E2,600000,671.44,fb.me/ads,FACEBK *P8FGDKD6E2
2026-03-25,600000,meta-socovesa-2026-03,Socovesa,2026-03-25,26464036493287541-26352987171059148,,600000,Pagado,Facturas Meta\Socovesa\marzo_2026\2026-03-25T07-08 Transacción n.º 26464036493287541-26352987171059148.pdf,63,2603 74987506084000726409227,2026-03-25,Z3SA4KM6E2,600000,671.44,fb.me/ads,FACEBK *Z3SA4KM6E2
2026-03-26,600000,meta-almagro-inmobiliaria-2026-03,Almagro Inmobiliaria,2026-03-26,26043547221997316-26024970580521646,,600000,Pagado,Facturas Meta\Almagro\marzo_2026\2026-03-26T12-31 Transacción n.º 26043547221997316-26024970580521646.pdf,66,2603 74987506085000806527228,2026-03-26,383VDJR6E2,600000,670.7,fb.me/ads,FACEBK *383VDJR6E2
2026-03-26,600000,meta-pilares-2026-03,Pilares,2026-03-26,26512187295135239-26429630873390884,,600000,Pagado,Facturas Meta\Pilares\marzo_2026\2026-03-26T23-16 Transacción n.º 26512187295135239-26429630873390884.pdf,65,2703 74987506085000730310220,2026-03-26,9H8DXKZ5E2,600000,670.7,fb.me/ads,FACEBK *9H8DXKZ5E2
2026-03-27,600000,meta-almagro-inmobiliaria-2026-03,Almagro Inmobiliaria,2026-03-27,26033872682964769-26128450496840312,,600000,Pagado,Facturas Meta\Almagro\marzo_2026\2026-03-27T07-24 Transacción n.º 26033872682964769-26128450496840312.pdf,69,2703 74987506086000601656072,2026-03-27,SBAN9KM6E2,600000,665.05,fb.me/ads,FACEBK *SBAN9KM6E2
2026-03-27,600000,meta-almagro-inmobiliaria-2026-03,Almagro Inmobiliaria,2026-03-27,26041487178869986-26170514855967216,,600000,Pagado,Facturas Meta\Almagro\marzo_2026\2026-03-27T22-15 Transacción n.º 26041487178869986-26170514855967216.pdf,67,3003 74987506086000217253223,2026-03-27,T64KMKD6E2,600000,665.05,fb.me/ads,FACEBK *T64KMKD6E2
2026-03-27,600000,meta-socovesa-2026-03,Socovesa,2026-03-27,26495207693503754-26841931475498041,,600000,Pagado,Facturas Meta\Socovesa\marzo_2026\2026-03-27T21-46 Transacción n.º 26495207693503754-26841931475498041.pdf,68,2703 74987506086000703609219,2026-03-27,ZAWFLKD6E2,600000,665.05,fb.me/ads,FACEBK *ZAWFLKD6E2
2026-03-28,89573,meta-almagro-inmobiliaria-2026-03,Almagro Inmobiliaria,2026-03-28,26179110541774308-26063961976622507,,89573,Pagado,Facturas Meta\Almagro\marzo_2026\2026-03-28T06-29 Transacción n.º 26179110541774308-26063961976622507.pdf,74,3003 74987506087000612953095,2026-03-28,9JKUQKD6E2,89573,99.37,fb.me/ads,FACEBK *9JKUQKD6E2
2026-03-28,600000,meta-almagro-inmobiliaria-2026-03,Almagro Inmobiliaria,2026-03-28,26442139172138110-26146182915067070,,600000,Pagado,Facturas Meta\Almagro\marzo_2026\2026-03-28T19-06 Transacción n.º 26442139172138110-26146182915067070.pdf,72,3003 74143616088000061502242,2026-03-28,CN66LJR6E2,600000,665.66,DUBLIN,FACEBK *CN66LJR6E2
2026-03-28,600000,meta-pilares-2026-03,Pilares,2026-03-28,26639634499057183-26446865688334072,,600000,Pagado,Facturas Meta\Pilares\marzo_2026\2026-03-28T17-38 Transacción n.º 26639634499057183-26446865688334072.pdf,70,3003 74987506087000101561227,2026-03-28,EQFYCKM6E2,600000,665.66,fb.me/ads,FACEBK *EQFYCKM6E2
2026-03-28,600000,meta-socovesa-2026-03,Socovesa,2026-03-28,26391735260517669-26511596498531543,,600000,Pagado,Facturas Meta\Socovesa\marzo_2026\2026-03-28T18-47 Transacción n.º 26391735260517669-26511596498531543.pdf,75,3003 74987506087000749185223,2026-03-28,QCT2YJ56E2,600000,665.66,fb.me/ads,FACEBK *QCT2YJ56E2
2026-03-29,600000,meta-almagro-inmobiliaria-2026-03,Almagro Inmobiliaria,2026-03-29,26060943946924309-26079475561737815,,600000,Pagado,Facturas Meta\Almagro\marzo_2026\2026-03-29T15-00 Transacción n.º 26060943946924309-26079475561737815.pdf,77,3003 74987506088000413084073,2026-03-29,S3C4WJV5E2,600000,665.66,fb.me/ads,FACEBK *S3C4WJV5E2
2026-03-29,600000,meta-socovesa-2026-03,Socovesa,2026-03-29,26396441093380416-26355710880786768,,600000,Pagado,Facturas Meta\Socovesa\marzo_2026\2026-03-29T16-21 Transacción n.º 26396441093380416-26355710880786768.pdf,76,3003 74987506088000529828066,2026-03-29,TCH9VKH6E2,600000,665.66,fb.me/ads,FACEBK *TCH9VKH6E2
